policy,latency_ms,P_gt
SafeTail-2.0 (het),47.570769,0.3397405420091014
SafeTail-2.0 (het),47.679849,0.3372953881681723
SafeTail-2.0 (het),47.779849,0.33485023432724303
SafeTail-2.0 (het),47.85369,0.3324050804863139
SafeTail-2.0 (het),47.929849,0.32995992664538476
SafeTail-2.0 (het),48.010933,0.3275147728044556
SafeTail-2.0 (het),48.110251,0.3250696189635265
SafeTail-2.0 (het),48.216086,0.32262446512259735
SafeTail-2.0 (het),48.287195,0.3201793112816681
SafeTail-2.0 (het),48.35369,0.31773415744073896
SafeTail-2.0 (het),48.429849,0.3152890035998098
SafeTail-2.0 (het),48.520769,0.3128438497588807
SafeTail-2.0 (het),48.60369,0.31039869591795155
SafeTail-2.0 (het),48.689786,0.3079535420770223
SafeTail-2.0 (het),48.828351,0.30550838823609316
SafeTail-2.0 (het),48.910933,0.303063234395164
SafeTail-2.0 (het),49.00369,0.3006180805542349
SafeTail-2.0 (het),49.078351,0.29817292671330575
SafeTail-2.0 (het),49.142513,0.2957277728723765
SafeTail-2.0 (het),49.228351,0.29328261903144737
SafeTail-2.0 (het),49.30369,0.29083746519051823
SafeTail-2.0 (het),49.381683,0.2883923113495891
SafeTail-2.0 (het),49.477001,0.28594715750865995
SafeTail-2.0 (het),49.560933,0.2835020036677307
SafeTail-2.0 (het),49.644936,0.28105684982680157
SafeTail-2.0 (het),49.729849,0.27861169598587243
SafeTail-2.0 (het),49.822624,0.2761665421449433
SafeTail-2.0 (het),49.878351,0.27372138830401416
SafeTail-2.0 (het),49.967773,0.271276234463085
SafeTail-2.0 (het),50.028351,0.26883108062215577
SafeTail-2.0 (het),50.134503,0.26638592678122663
SafeTail-2.0 (het),50.228351,0.2639407729402975
SafeTail-2.0 (het),50.317773,0.26149561909936836
SafeTail-2.0 (het),50.428351,0.2590504652584392
SafeTail-2.0 (het),50.529849,0.25660531141751
SafeTail-2.0 (het),50.628351,0.25416015757658084
SafeTail-2.0 (het),50.728351,0.2517150037356517
SafeTail-2.0 (het),50.788093,0.24926984989472256
SafeTail-2.0 (het),50.90369,0.24682469605379342
SafeTail-2.0 (het),51.028351,0.24437954221286418
SafeTail-2.0 (het),51.167325,0.24193438837193504
SafeTail-2.0 (het),51.228351,0.2394892345310059
SafeTail-2.0 (het),51.320769,0.23704408069007676
SafeTail-2.0 (het),51.417773,0.23459892684914763
SafeTail-2.0 (het),51.50369,0.2321537730082185
SafeTail-2.0 (het),51.617773,0.22970861916728924
SafeTail-2.0 (het),51.70369,0.2272634653263601
SafeTail-2.0 (het),51.784503,0.22481831148543097
SafeTail-2.0 (het),51.878351,0.22237315764450183
SafeTail-2.0 (het),51.970769,0.2199280038035727
SafeTail-2.0 (het),52.120769,0.21748284996264344
SafeTail-2.0 (het),52.237181,0.2150376961217143
SafeTail-2.0 (het),52.317773,0.21259254228078517
SafeTail-2.0 (het),52.428351,0.21014738843985603
SafeTail-2.0 (het),52.55369,0.2077022345989269
SafeTail-2.0 (het),52.678351,0.20525708075799765
SafeTail-2.0 (het),52.791122,0.2028119269170685
SafeTail-2.0 (het),52.910251,0.20036677307613937
SafeTail-2.0 (het),53.00369,0.19792161923521023
SafeTail-2.0 (het),53.128351,0.1954764653942811
SafeTail-2.0 (het),53.228351,0.19303131155335185
SafeTail-2.0 (het),53.328351,0.1905861577124227
SafeTail-2.0 (het),53.50369,0.18814100387149357
SafeTail-2.0 (het),53.578351,0.18569585003056444
SafeTail-2.0 (het),53.678351,0.1832506961896353
SafeTail-2.0 (het),53.778351,0.18080554234870616
SafeTail-2.0 (het),53.928351,0.1783603885077769
SafeTail-2.0 (het),54.078351,0.17591523466684778
SafeTail-2.0 (het),54.167773,0.17347008082591864
SafeTail-2.0 (het),54.278351,0.1710249269849895
SafeTail-2.0 (het),54.428351,0.16857977314406036
SafeTail-2.0 (het),54.55369,0.16613461930313111
SafeTail-2.0 (het),54.687181,0.16368946546220198
SafeTail-2.0 (het),54.867773,0.16124431162127284
SafeTail-2.0 (het),55.028351,0.1587991577803437
SafeTail-2.0 (het),55.178351,0.15635400393941457
SafeTail-2.0 (het),55.379849,0.15390885009848532
SafeTail-2.0 (het),55.517773,0.15146369625755618
SafeTail-2.0 (het),55.678351,0.14901854241662704
SafeTail-2.0 (het),55.788175,0.1465733885756979
SafeTail-2.0 (het),55.970769,0.14412823473476877
SafeTail-2.0 (het),56.170769,0.14168308089383952
SafeTail-2.0 (het),56.370769,0.13923792705291038
SafeTail-2.0 (het),56.528351,0.13679277321198124
SafeTail-2.0 (het),56.728351,0.1343476193710521
SafeTail-2.0 (het),56.928351,0.13190246553012297
SafeTail-2.0 (het),57.087195,0.12945731168919383
SafeTail-2.0 (het),57.278351,0.12701215784826458
SafeTail-2.0 (het),57.470769,0.12456700400733545
SafeTail-2.0 (het),57.617773,0.12212185016640631
